"empresa","corridas_ate_3_minutos","total_de_corridas","percentual_de_corridas_de_ate_3_minutos_em_relacao_ao_total_de_corridas_do_orgao","custo_total_corridas_com_menos_de_3_minutos"
"Coordenadoria Regional de Saúde Sudeste",1185,42006,"3%",8742.07
"Secretaria Municipal da Pessoa com Deficiência - SMPED",89,5340,"2%",7910.16
"Secretaria Municipal de Educação   Coordenadoria de Alimentação Escolar",402,22593,"2%",2898.09
"Coordenadoria Regional de Saúde leste",307,14861,"2%",2131.87
"Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo - PRODAM - SP",174,8358,"2%",1271.98
"Coordenadoria Regional de Saúde Norte",165,11437,"1%",1177.22
"Prefeitura Regional da Sé",141,6702,"2%",1083.37
"Prefeitura Regional Aricanduva/Formosa/Carrão",141,8530,"2%",1021.63
"Autarquia Hospitalar Municipal",144,9085,"2%",1005.12
"São Paulo Secretaria Municipal de Cultura",117,8949,"1%",882.77
"Coordenadoria Regional de Saúde Sul",118,11315,"1%",861.48
"Prefeitura do Município de São Paulo - Secretaria do Governo Municipal",107,8199,"1%",826.76
"Prefeitura Regional Itaim Paulista",115,8102,"1%",808.37
"Secretaria Municipal de Trabalho e Empreendedorismo",99,5739,"2%",765.47
"Prefeitura Regional Ipiranga",89,4699,"2%",716.4
"Coordenadoria Regional de Saúde Oeste",91,6383,"1%",699.96
"Secretaria Municipal da Fazenda",87,6873,"1%",693.07
"Secretaria Municipal de Educação",87,8005,"1%",666.51
"Prefeitura Regional Lapa",81,5146,"2%",614.14
"Diretoria Regional de Educação  São Mateus",84,4531,"2%",606.57
"Diretoria Regional de Educação Guaianases",76,3061,"2%",556.77
"Diretoria Regional de Educação Itaquera",77,4563,"2%",554.17
"Secretaria Municipal do Verde e do Meio Ambiente",68,7038,"1%",487.9
"Prefeitura Regional de São Mateus",65,2222,"3%",482.83
"Prefeitura Regional Ermelino Matarazzo",66,3181,"2%",475.9
"Diretoria Regional de Educação Butantã",56,4414,"1%",428.37
"Prefeitura Regional Vila Mariana",54,5284,"1%",424.24
"Prefeitura Regional Itaquera",57,3821,"1%",419.85
"Diretoria Regional de Educação Penha",55,5397,"1%",399.97
"Prefeitura Regional de Pinheiros",51,5111,"1%",366.53
"Secretaria Municipal de Gestão - SMG",52,5481,"1%",363.75
"Prefeitura Regional Jabaquara",49,2313,"2%",347.29
"Diretoria Regional de Educação  Santo Amaro",47,3771,"1%",346.27
"Diretoria Regional de Educação São Miguel",46,2220,"2%",344.99
"Secretaria Municipal de Inovação e Tecnologia",45,3445,"1%",327.64
"Secretaria Municipal da Saúde/Fundo Municipal de Saúde",44,3192,"1%",324.68
"Prefeitura Regional da M Boi Mirim",45,3637,"1%",318.99
"Diretoria Regional Freguesia Brasilândia",42,3388,"1%",303.54
"Prefeitura Regional Casa Verde/Cachoeirinha",39,2598,"2%",299.59
"Diretoria Regional de Educação Jaçanã / Tremembé",41,3533,"1%",297.74
"Diretoria Regional de Educação Pirituba Jaraguá",38,3284,"1%",295.15
"Prefeitura Regional Penha",33,2227,"1%",235.1
"Diretoria Regional de Educação - Capela do Socorro",28,2277,"1%",201.34
"Secretaria Municipal de Esporte e Lazer",24,2155,"1%",183.6
"Prefeitura Regional Jaçanã Tremembé",30,1445,"2%",183.21
"Prefeitura Regional Santana Tucuruvi",25,1272,"2%",180.3
"Prefeitura Regional Mooca",25,1601,"2%",177.72
"Diretoria Regional de Educação Ipiranga",23,2987,"1%",160.15
"Coordenadoria de Vigilância em Saúde",20,2579,"1%",155.11
"Secretaria Municipal de Direitos Humanos e Cidadania",20,1829,"1%",153.95
"Prefeitura Regional Capela do Socorro",11,1518,"1%",140.85
"Secretaria Municipal de Mobilidade e Transportes",18,620,"3%",134.85
"São Paulo Turismo S/A",16,1719,"1%",125.57
"Prefeitura Regional São Miguel Paulista",16,963,"2%",116.46
"Secretaria Municipal de Urbanismo e Licencimanento",14,462,"3%",113.66
"Prefeitura Regional Campo Limpo",16,753,"2%",113.41
"Coordenadoria Regional de Saúde Centro   UVIS Sé",15,712,"2%",110.78
"Prefeitura Regional de Vila Prudente",12,1026,"1%",90.67
"Prefeitura Regional Freguesia/Brasilândia",12,514,"2%",90.22
"Agência São Paulo de Desenvolvimento",11,786,"1%",88.92
"Autoridade Municipal de Limpeza Urbana",12,1068,"1%",85.42
"Secretaria de Justiça - Controladoria Geral do Município",12,553,"2%",83.24
"Secretaria Municipal de Relações Internacionais",10,1408,"1%",79.47
"Prefeitura Regional de Guaianases",11,539,"2%",78.93
"Subprefeitura Capela do Socorro",11,981,"1%",78.47
"SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS",8,679,"1%",65.94
"Prefeitura Regional de Vila Maria Vila Guilherme",9,382,"2%",65.88
"Subprefeitura Santo Amaro",9,497,"2%",65.87
"Subprefeitura Santana Tucuruvi",9,411,"2%",64.15
"Prefeitura Regional Cidade Ademar",8,375,"2%",56.94
"Secretaria Municipal de Desestatização e Parcerias",6,619,"1%",56.17
"São Paulo Obras",5,223,"2%",51.88
"SAO PAULO PARCERIAS S.A",4,765,"1%",50.52
"Instituto de Previdência Municipal de São Paulo   IPREM",9,1222,"1%",49.16
"Tribunal de Contas do Município de São Paulo",6,468,"1%",43.49
"Prefeitura Regional Perus",6,342,"2%",43.4
"Prefeitura Regional Pirituba/Jaraguá",7,364,"2%",40.56
"Secretaria Municipal de Infraestrutura Urbana e Obras",5,360,"1%",39.72
"Companhia de Engenharia de Tráfego",5,199,"3%",35.55
"Procuradoria Geral do Município de São Paulo",5,313,"2%",34.14
"São Paulo Urbanismo - SP Urbanismo",5,348,"1%",32.97
"Secretaria Municipal de Serviços e Obras",3,145,"2%",21.69
"Fundação Paulistana de Educação, Tecnologia e Cultura",3,782,"0%",18.16
"Fundação Theatro Municipal de São Paulo",2,88,"2%",14.37
"Prefeitura do Município de São Paulo - Secretaria Municipal da Fazenda",1,403,"0%",7.45
"PMSP - Prefeitura Regional Cidade Tiradentes",1,89,"1%",6.11
"SP Negócios S/A   SPN",1,204,"0%",4.81
